"report_date","active_users","new_users","total_users","user_engagement_duration","user_key_event_rate","active_1day_users","active_7day_users","active_28day_users","dau_per_wau","dau_per_mau","wau_per_mau","first_time_purchasers","first_time_purchaser_rate","total_purchasers","first_time_purchasers_per_new_user","new_vs_returning"
2024-09-23,0,0,11,0,0.0,0,10,62,0.0,0.0,0.15384615384615385,0,0.0,0,0.0,(not set)
2024-09-24,132,132,132,5604,0.05303030303030303,132,963,5625,0.13707165109034267,0.02146690518783542,0.32193158953722334,0,0.0,0,0.0,new
2024-09-24,27,0,27,2128,0.0,27,160,468,0.16875,0.05432595573440644,0.15661083102943568,0,0.0,0,0.0,returning
2024-09-24,0,0,4,0,0.0,0,6,52,0.0,0.0,0.09375,0,0.0,0,0.0,(not set)
2024-09-25,162,162,162,5712,0.09876543209876543,162,918,5526,0.17647058823529413,0.026483570377636097,0.29025844930417494,0,0.0,0,0.0,new
2024-09-25,29,0,29,1717,0.13793103448275862,29,146,468,0.19863013698630136,0.05765407554671968,0.15007356547327122,0,0.0,0,0.0,returning
2024-09-25,0,0,15,0,0.0,0,4,29,0.0,0.0,0.06451612903225806,0,0.0,0,0.0,(not set)
2024-09-26,259,259,259,11409,0.09652509652509653,259,953,5516,0.27177334732423925,0.04283115594509674,0.2857142857142857,0,0.0,0,0.0,new
2024-09-26,37,0,37,1930,0.02702702702702703,37,148,472,0.25,0.07142857142857142,0.15759880932693898,0,0.0,0,0.0,returning
2024-09-26,3,0,12,73,0.3333333333333333,3,6,30,0.5,0.05555555555555555,0.1111111111111111,0,0.0,0,0.0,(not set)
2024-09-27,180,180,180,8494,0.13333333333333333,180,985,5531,0.18274111675126903,0.030170968823332214,0.294921875,0,0.0,0,0.0,new
2024-09-27,33,0,33,2818,0.030303030303030304,33,151,482,0.2185430463576159,0.064453125,0.1651022460610124,0,0.0,0,0.0,returning
2024-09-27,1,0,12,24,0.0,1,5,28,0.2,0.03125,0.15625,0,0.0,0,0.0,(not set)
2024-09-28,257,257,257,12126,0.10505836575875487,257,1207,5769,0.21292460646230324,0.04316425932146456,0.33267716535433073,0,0.0,0,0.0,new
2024-09-28,29,0,29,2065,0.13793103448275862,29,169,500,0.17159763313609466,0.05708661417322835,0.2027208599261001,0,0.0,0,0.0,returning
2024-09-28,1,0,6,14,0.0,1,5,29,0.2,0.03125,0.15625,0,0.0,0,0.0,(not set)
2024-09-29,288,288,288,11781,0.052083333333333336,288,1432,6053,0.2011173184357542,0.04743083003952569,0.35361216730038025,0,0.0,0,0.0,new
2024-09-29,34,0,34,3597,0.029411764705882353,34,186,521,0.1827956989247312,0.06463878326996197,0.23583662714097497,0,0.0,0,0.0,returning
2024-09-29,2,0,11,26,0.0,2,7,31,0.2857142857142857,0.06451612903225806,0.22580645161290322,0,0.0,0,0.0,(not set)
2024-09-30,183,184,183,12596,0.20765027322404372,183,1461,6205,0.12525667351129363,0.029326923076923077,0.340036563071298,0,0.0,0,0.0,new
2024-09-30,43,0,43,4738,0.046511627906976744,43,186,538,0.23118279569892472,0.07861060329067641,0.23413461538461539,0,0.0,0,0.0,returning
2024-09-30,0,0,13,0,0.0,0,7,31,0.0,0.0,0.22580645161290322,0,0.0,0,0.0,(not set)
2024-10-01,338,338,338,15475,0.05621301775147929,338,1666,6345,0.2028811524609844,0.051524390243902436,0.34965034965034963,0,0.0,0,0.0,new
2024-10-01,49,0,49,9634,0.02040816326530612,49,200,554,0.245,0.08566433566433566,0.25396341463414634,0,0.0,0,0.0,returning
2024-10-01,2,0,16,72,0.5,2,8,31,0.25,0.0625,0.25,0,0.0,0,0.0,(not set)
2024-10-02,192,191,192,8826,0.0625,192,1694,6329,0.11334120425029516,0.028541697636390664,0.34974533106960953,0,0.0,0,0.0,new
2024-10-02,46,0,46,3763,0.06521739130434782,46,206,571,0.22330097087378642,0.07809847198641766,0.29411764705882354,0,0.0,0,0.0,returning
2024-10-02,3,0,12,35,0.3333333333333333,3,10,32,0.3,0.08823529411764706,0.2518210197710718,0,0.0,0,0.0,(not set)
2024-10-03,257,257,257,8286,0.07782101167315175,257,1693,6409,0.151801535735381,0.03775525194652563,0.342668863261944,0,0.0,0,0.0,new
